id,str_resource,str_description,website,see_also_url,meta_title,meta_description,stage_list,task_list,category,college,college_display,stage_list_facet,task_list_facet
1,Subject Specialist Librarians,"Subject Specialist Librarians can help by providing one-on-one research assistance, purchasing materials (including data) in your discipline, answering questions about publishing and copyright issues, and identifying gaps in the literature when you're planning a research project, and navigating library resources. Visit the Meet Your Librarian page to find out more about your librarian and request an appointment.",http://www.lib.umd.edu/rc/meet-your-librarian,,Meet your Librarian to take advantage of all that UMD Libraries have to offer.,"research assistance,purchasing subject area materials,library instruction sessions,library facilities and services,project rationale,develop manuscript,literature review",Develop your research idea;Perform your research;Close out your project;Communicate and disseminate results,"Develop and evaluate a research idea;Plan for data collection and management;Acquire, collect or generate data;Archive and disseminate data;Develop manuscript for publication",Library Resources,UMCP,Campuswide,1::Develop your research idea;4::Perform your research;5::Close out your project;6::Communicate and disseminate results,"101::Develop and evaluate a research idea;104::Plan for data collection and management;402::Acquire, collect or generate data;503::Archive and disseminate data;601::Develop manuscript for publication"
77,Research Commons,"The Research Commons brings together library services and spaces for faculty, graduate students, and researchers. The RC will connect you with the resources you need, by putting you in touch with your subject specialist librarian and also through research workshops, statistical consulting, and events featuring campus researchers.",http://www.lib.umd.edu/rc,,"Get connected with library resources for researchers, like workshops and statistical consulting","consultation,library services,librarian,research,resources,literature review,manuscript,publication",Develop your research idea;Communicate and disseminate results,Develop and evaluate a research idea;Develop manuscript for publication,Library Resources,UMCP,Campuswide,1::Develop your research idea;6::Communicate and disseminate results,101::Develop and evaluate a research idea;601::Develop manuscript for publication
38,Laboratories and Facilities,The University of Maryland has a variety of state-of-the-art facilities and laboratories across campus.  Find out more about these facilities and how you can use them in your research.,http://research.umd.edu/capabilities/laboratories,,Find a list of campus laboratories and facilities,"facility,lab,advanced computing,biotech,biomedical,distance learning,engineering,materials processing,environment,climate,fire protection,food safety,nanotechnology,physical sciences,robotics,space science,transportation",Develop your research idea;Fund your research;Perform your research,"Find a laboratory, instrument, or facility;Find a laboratory, instrument, or facility;Find a laboratory or instrument",Campus Research Facilities,UMCP,Campuswide,1::Develop your research idea;2::Fund your research;4::Perform your research,"103::Find a laboratory, instrument, or facility;203::Find a laboratory, instrument, or facility;401::Find a laboratory or instrument"
27,John and Stella Graves Makerspace,"The John and Stella Graves Makerspace is a center where the UMD community can use technology and tools to create prototypes, experiment and learn. Try new equipment and experiment with all sorts of materials on your own, or attend a workshop. Equipment includes 3D printers, virtual and augmented reality devices, and is available to check out. Guest lectures can also be prepared for classes.",http://www.lib.umd.edu/tlc/makerspace,,"Use technology and tools to create prototypes, experiment, and learn","create prototypes,experiment,test equipment,3D printers,vinyl cutter,virtual reality,augmented reality",Develop your research idea;Fund your research;Perform your research,"Find a laboratory, instrument, or facility;Find a laboratory, instrument, or facility;Find a laboratory or instrument;Print 3D objects and prototypes",Campus Research Facilities,UMCP,Campuswide,1::Develop your research idea;2::Fund your research;4::Perform your research,"103::Find a laboratory, instrument, or facility;203::Find a laboratory, instrument, or facility;401::Find a laboratory or instrument;408::Print 3D objects and prototypes"
39,Core Facilities,"Core facilities are shared services and laboratories available to researchers at the University of Maryland.  Some of these facilities are institutional research cores and are available on a fee-for-service basis to UM investigators. Other core facilities are supported by individual departments, specific grants or groups of investigators, and may also be available on a fee-for-service or collaborative basis.",http://research.umd.edu/core-facilities,,Conduct your research in one of our state-of-the-art facilities,"core facility,research center,biotech,biomedical,distance learning,engineering,materials processing,environment,fire protection,food safety,nanotechnology,physical sciences,robotics,space science,transportation",Develop your research idea;Fund your research;Perform your research,"Find a laboratory, instrument, or facility;Find a laboratory, instrument, or facility;Find a laboratory or instrument",Campus Research Facilities,UMCP,Campuswide,1::Develop your research idea;2::Fund your research;4::Perform your research,"103::Find a laboratory, instrument, or facility;203::Find a laboratory, instrument, or facility;401::Find a laboratory or instrument"
97,Institutes and Centers,"Identify institutes and centers on campus that conduct work in key areas such as advanced computing, energy, engineering, environment and the climate, health and biomedical research, information, data and digital humanities, international studies, language, physical sciences, politics, security and defense.",http://research.umd.edu/capabilities/institutes-centers,,Collaborate with centers and institutes on campus,"advanced computing,energy,institute,center,advanced computing,energy,engineering,environment,climate,health,biomedical,information,data,digital,international,language,physical sciences,politics,security,defense",Develop your research idea;Fund your research;Perform your research,"Find a laboratory, instrument, or facility;Find a laboratory, instrument, or facility;Find a laboratory or instrument;Explore and analyze data",Campus Research Facilities,UMCP,Campuswide,1::Develop your research idea;2::Fund your research;4::Perform your research,"103::Find a laboratory, instrument, or facility;203::Find a laboratory, instrument, or facility;401::Find a laboratory or instrument;404::Explore and analyze data"
50,ORA Certificate Program,"The Certificate Program consists of two learning tracks, a beginner track designed for early-to-mid career research administrators and follows the lifecycle of a sponsored project from proposal development through closeout and an advanced track intended to give a deeper understanding of contract and grant administration.  Topics include intro to sponsored research at the University of Maryland College Park, developing and submitting the proposal, establishing an award, project management I and II, closeout and beyond and beginner track capstone.",http://www.ora.umd.edu/training/certificate-program,,Get trained on sponsored research policies and procedures,"proposal,routing,accounting,assurances,cost principles,audit,administrative requirements,budgeting,procurement,travel,contract,research policies,intellectual property,technology transfer,compliance,sponsored projects",Develop your research idea;Manage your project,Get training on research compliance;Manage an award,Research Administration Guidance,UMCP,Campuswide,1::Develop your research idea;3::Manage your project,106::Get training on research compliance;301::Manage an award
90,ORA Award Management,"The Principal Investigator is responsible for the overall management of his or her sponsored project. Many times, this responsibility is managed on the PI's behalf by a departmental business person. Post award management includes reconciling accounts on a repeating basis to ensure only those reasonable, allocable and allowable expenses are charged to the sponsored project, tracking the effort of key personnel, tracking the performance to ensure that the project is completed in a timely manner and ensuring that the specific award terms are followed.",http://www.ora.umd.edu/resources/award-management,,"Find information on managing accounts, budgets, personnel, and more","award transfer,research terms and conditions,advance account number authorization,pre-award costs,no cost extension,child account,rebudget,foreign travel,key personnel,expenses,reconcile accounts,award terms,award,",Manage your project,Manage an award;Manage your budget,Research Administration Guidance,UMCP,Campuswide,3::Manage your project,301::Manage an award;302::Manage your budget
37,ORA Subaward Management,"Subawards funded by an outside sponsor and performed under a proposal submitted by UMD are governed by ORA procedures published in the Subcontracting Manual.  This page describes the procedures and provides forms and resources for requesting, monitoring, and closing out subawards issued in support of research, development, and training.  For subaward forms and sample budgets and invoices, click on the See Also link below.",http://www.ora.umd.edu/resources/subawards,http://ora.umd.edu/forms/umd#subpacket,"Develop, issue and manage subawards to external partners","subaward,subcontract,contract,consultant,vendor,partner,sample budget,sample invoice,subrecipient,subrecipient monitoring,closeout certification",Develop your research idea;Manage your project;Close out your project,Build a team;Manage an award;Manage your budget;Set up and manage contracts and subawards;Close subawards,Research Administration Guidance,UMCP,Campuswide,1::Develop your research idea;3::Manage your project;5::Close out your project,102::Build a team;301::Manage an award;302::Manage your budget;303::Set up and manage contracts and subawards;502::Close subawards
85,Citation Management Tools,"Citation managers (e.g. EndNote Web, Zotero, etc.) help researchers keep track of their references for dissertations, journal articles, or any other writing needs. The software also facilitates the downloading of citations and content directly from online databases. The tools help researchers create citations and bibliographies, then easily format them in a wide variety of styles.",http://lib.guides.umd.edu/citationtools,,Organize your sources and create citations in the style you need,"references,research,citations,journal,article,bibliography,MLA,APA,Chicago",Develop your research idea;Close out your project;Communicate and disseminate results,Develop and evaluate a research idea;Archive and disseminate data;Develop manuscript for publication,Research Administration Guidance,UMCP,Campuswide,1::Develop your research idea;5::Close out your project;6::Communicate and disseminate results,101::Develop and evaluate a research idea;503::Archive and disseminate data;601::Develop manuscript for publication
48,OMB Uniform Guidance,"The OMB Uniform Guidance is a set of regulations that impact the proposals you develop for federal funding, the way grants and contracts are managed, and the cost principles that guide research at the University of Maryland College Park.",http://www.ora.umd.edu/resources/federal/uniform-guidance,,Learn about cost principles and administrative requirements related to federally funded research,"Uniform Guidance,OMB,federal requirements,cost principles,administrative requirements,audit",Develop your research idea;Fund your research;Manage your project;Perform your research,Comply with research policies and practices;Build your budget;Comply with research policies and practices;Comply with research policies and practices,Research Administration Guidance,UMCP,Campuswide,1::Develop your research idea;2::Fund your research;3::Manage your project;4::Perform your research,105::Comply with research policies and practices;206::Build your budget;310::Comply with research policies and practices;409::Comply with research policies and practices
42,Institutional Animal Care and Use Committee (IACUC),"The IACUC reviews the use of animals in research, testing and teaching to ensure the humane and ethical use of animals, and compliance with federal laws and their associated regulations, policies and guidelines.Researchers must have IACUC approval to conduct research that involves vertebrate animals.",https://research.umd.edu/iacuc,,Comply with policies related to animal research,"animal research,animal testing,teaching with animals,IACUC,compliance,animal care,protocol",Develop your research idea;Fund your research;Manage your project;Perform your research,Comply with research policies and practices;Document research policies and practices;Comply with research policies and practices;Comply with research policies and practices,"Research Policy, Safety, Compliance, and Training",UMCP,Campuswide,1::Develop your research idea;2::Fund your research;3::Manage your project;4::Perform your research,105::Comply with research policies and practices;205::Document research policies and practices;310::Comply with research policies and practices;409::Comply with research policies and practices
9,Policy on Classified and Proprietary Work,"UMD policy on sponsored research agreements supports the dissemination of research results.  The University System of Maryland does not enter into agreements to carry out research if the grant, contract, or other award instrument restrains the freedom of the University and its faculty to disclose the existence of the grant or contract, the general nature of the inquiry to be conducted, or the identity of the sponsor.  The University reserves, for its faculty, the right to publish the results of the research without the prior approval of the sponsor.",http://www.usmh.usmd.edu/Leadership/BoardOfRegents/Bylaws/SectionIV/IV220.html,,See how UMD policy supports the dissemination of research results,"Classified,proprietary,UMCP policy,sponsored research agreements,dissemination of research,prior approval of findings,OTC,intellectual property,IP,document,publish,results",Develop your research idea;Close out your project;Communicate and disseminate results,Comply with research policies and practices;Archive and disseminate data;Protect intellectual property;Protect intellectual property,"Research Policy, Safety, Compliance, and Training",UMCP,Campuswide,1::Develop your research idea;5::Close out your project;6::Communicate and disseminate results,105::Comply with research policies and practices;503::Archive and disseminate data;505::Protect intellectual property;602::Protect intellectual property
84,Lab Notebooks: Protecting Intellectual Property,"Laboratory notebooks are commonly used to document the progress of research, but are also an important resource in proving the University's right to obtain a U.S. patent for an invention.  Find tips for proper documentation and notebook procedures.",http://www.otc.umd.edu/inventors/lab-notebooks,,Document your research to ensure proper patentability,"laboratory,lab,notebook,patent,invention,documentation,author,commercialize,OTC,intellectual property,IP,document,publish,results",Perform your research;Close out your project;Communicate and disseminate results,"Acquire, collect or generate data;Manage your data;Protect intellectual property;Protect intellectual property;Commercialize your research","Research Policy, Safety, Compliance, and Training",UMCP,Campuswide,4::Perform your research;5::Close out your project;6::Communicate and disseminate results,"402::Acquire, collect or generate data;403::Manage your data;505::Protect intellectual property;602::Protect intellectual property;607::Commercialize your research"
43,Export Compliance,"UMD has a mission of promoting academic freedom and sharing of information to the greatest extent possible. However, in some cases, UMD researchers may create or have access to sensitive technologies that are controlled by US export laws. Researchers and administrators dealing in sensitive technologies need to be mindful of the legal restrictions including the significant personal liability associated with handling sensitive technologies. It is the primary goal of the Export Compliance Office (ECO) to protect our researchers and support research advancement by providing the least burdensome approach to complying with US export laws.",http://www.umresearch.umd.edu/Export/overview.html,,Comply with export laws when handling sensitive technology,"ECO,export,export control,compliance,technology,international,restrictions,shipment of equipment",Develop your research idea;Fund your research;Manage your project;Perform your research,Comply with research policies and practices;Document research policies and practices;Comply with research policies and practices;Comply with research policies and practices,"Research Policy, Safety, Compliance, and Training",UMCP,Campuswide,1::Develop your research idea;2::Fund your research;3::Manage your project;4::Perform your research,105::Comply with research policies and practices;205::Document research policies and practices;310::Comply with research policies and practices;409::Comply with research policies and practices
46,Department of Environmental Safety,"The Department of Environmental Safety (DES) ensures the safety of research at the University by aiding researchers in assessing and planning for hazards and risks, implementing controls for safety, and completing safety training.  Researchers working with chemical or biological materials, radiation, environmental hazards, fire, boats, and researchers with specialized laboratory requirements should contact DES to prepare for research needs.",http://www.essr.umd.edu,,Ensure research safety and compliance,"chemical,biological,radiation,environment,hazard,fire,boat,laboratory,select agent,toxins,diving,protocol",Develop your research idea;Fund your research;Manage your project;Perform your research,Comply with research policies and practices;Document research policies and practices;Comply with research policies and practices;Comply with research policies and practices,"Research Policy, Safety, Compliance, and Training",UMCP,Campuswide,1::Develop your research idea;2::Fund your research;3::Manage your project;4::Perform your research,105::Comply with research policies and practices;205::Document research policies and practices;310::Comply with research policies and practices;409::Comply with research policies and practices
49,University Policies and Guidance for Research,"Researchers should be familiar with several key University Policies, including: Policy on Intellectual Property and Classified and Proprietary Work, Policy on Conflict of Interest, Export Control, roles and responsibilities, financial transactions and reporting, responsible contracting.",http://ora.umd.edu/resources/faculty-guide/policies,http://ora.umd.edu/resources/um-policies,Make sure your project is in compliance with key University policies,"compliance,policy,research guidance,intellectual property,classified,proprietary,conflict of interest,export,roles,financial,reporting,contracting",Develop your research idea;Manage your project;Perform your research,Comply with research policies and practices;Comply with research policies and practices;Comply with research policies and practices,"Research Policy, Safety, Compliance, and Training",UMCP,Campuswide,1::Develop your research idea;3::Manage your project;4::Perform your research,105::Comply with research policies and practices;310::Comply with research policies and practices;409::Comply with research policies and practices
45,Financial Conflict of Interest (FCOI),"A financial conflict of interest (FCOI) disclosure must be submitted along with a proposal to any Public Health Service (PHS) agency, even if there is no FCOI present.  The Research Compliance Office provides assistance in completing the disclosures through www.irbnet.org.  Researchers should also complete the required CITI program training on conflict of interest.",http://research.umd.edu/fcoi,,Learn about when financial conflict of interest (FCOI) disclosures are required,"FCOI,conflict of interest,COI,PHS,Public Health Service agency,disclosure,compliance",Develop your research idea;Fund your research;Manage your project;Perform your research,Comply with research policies and practices;Document research policies and practices;Comply with research policies and practices;Comply with research policies and practices,"Research Policy, Safety, Compliance, and Training",UMCP,Campuswide,1::Develop your research idea;2::Fund your research;3::Manage your project;4::Perform your research,105::Comply with research policies and practices;205::Document research policies and practices;310::Comply with research policies and practices;409::Comply with research policies and practices
52,CITI Courses for Responsible Conduct of Research (RCR) and Conflict of Interest (COI),"The CITI program offers courses to UM researchers on Responsible conduct of research (RCR) and Conflict of Interest (COI).  RCR training is required for all undergraduate students, graduate students, postdoctoral researchers, and staff participating in and supported by funds from the National Science Foundation (NSF) or from the National Institute of Food and Agriculture (NIFA).  Required training on COI can also be completed through the CITI program.",https://www.citiprogram.org/,,Get online training on research practices or conflict of interest to ensure that you are in compliance with sponsor requirements,"RCR,COI,NSF,NIFA,training,compliance,responsible conduct of research,conflict of interest",Develop your research idea;Fund your research;Manage your project;Perform your research,Get training on research compliance;Document research policies and practices;Comply with research policies and practices;Comply with research policies and practices,"Research Policy, Safety, Compliance, and Training",UMCP,Campuswide,1::Develop your research idea;2::Fund your research;3::Manage your project;4::Perform your research,106::Get training on research compliance;205::Document research policies and practices;310::Comply with research policies and practices;409::Comply with research policies and practices
51,Responsible Conduct of Research (RCR),"RCR training is required for all undergraduate students, graduate students, postdoctoral researchers, and staff participating in and supported by funds from the National Science Foundation (NSF) or from the National Institute of Food and Agriculture (NIFA).",http://www.umresearch.umd.edu/RCR/,,Learn about required RCR training,"training,compliance,NSF,NIFA,USDA,RCR,Responsible Conduct of Research",Develop your research idea;Manage your project;Perform your research,Comply with research policies and practices;Comply with research policies and practices;Comply with research policies and practices,"Research Policy, Safety, Compliance, and Training",UMCP,Campuswide,1::Develop your research idea;3::Manage your project;4::Perform your research,105::Comply with research policies and practices;310::Comply with research policies and practices;409::Comply with research policies and practices
11,Institutional Review Board (IRB),"The IRB approves the initiation of and conducts periodic reviews of research involving human participants. An Institutional Review Board (IRB) is a committee that performs ethical review of proposed research to help assure the protection of the rights and welfare of human participants. Investigators also share the responsibility for protecting human participants.  IRB review is required for any project at the University that is engaged in human subjects research by: intervening or interacting with living individuals for research purposes or, obtaining individually identifiable private information for research purposes.",https://research.umd.edu/irb,,Learn about the requirements and processes for IRB Human Subjects Approval,"IRB,Institutional Review Board,human subjects,human participants,protection of human rights and welfare,ethical review,sponsored research compliance,protocol",Develop your research idea;Fund your research;Manage your project;Perform your research,Comply with research policies and practices;Document research policies and practices;Comply with research policies and practices;Comply with research policies and practices,"Research Policy, Safety, Compliance, and Training",UMCP,Campuswide,1::Develop your research idea;2::Fund your research;3::Manage your project;4::Perform your research,105::Comply with research policies and practices;205::Document research policies and practices;310::Comply with research policies and practices;409::Comply with research policies and practices
47,Inventor Responsibility,"The Office of Technology Commercialization's (OTC) primary purpose is to serve the University's faculty, staff, and students and aid in the technology transfer and commercialization processes. We can help you obtain intellectual property protection, increase your research funding through successful partnerships with business and government, and supplement your income with royalty and licensing revenues. Our interdisciplinary team is here to guide your technology through the often confusing technology transfer cycle.",http://www.otc.umd.edu/inventors,,Find out what to do when you have invented a new technology,"invent,technology,commercialization,intellectual property,royalty,trademark,copyright,patent,disclosure,license,discovery,research property,OTC,intellectual property,IP,document,publish,results",Develop your research idea;Manage your project;Perform your research;Close out your project;Communicate and disseminate results,Comply with research policies and practices;Comply with research policies and practices;Comply with research policies and practices;Protect intellectual property;Commercialize your research,"Research Policy, Safety, Compliance, and Training",UMCP,Campuswide,1::Develop your research idea;3::Manage your project;4::Perform your research;5::Close out your project;6::Communicate and disseminate results,105::Comply with research policies and practices;310::Comply with research policies and practices;409::Comply with research policies and practices;505::Protect intellectual property;607::Commercialize your research
2,SPIN Plus,"Search for funding opportunities that fit your project.  Search by keyword and register to receive alerts as new funding becomes available.  SPINPlus is the funding search database available to UMD faculty, staff and students.  Click on the ""See Also"" link below for the SPIN Instruction Manual on how to create an account, set up standard filters, and maximize searches.",https://spin.infoedglobal.com/Authorize/Login,http://ora.umd.edu/proposal-development/locating-funding,Search for funding opportunities by keyword,"funding search,research funding,fund,sponsors,request for proposals,funding opportunities",Fund your research,Find Funding Opportunities,Funding Opportunities,UMCP,Campuswide,2::Fund your research,201::Find Funding Opportunities
5,Seed Grant Programs,"Seed Grant Programs support research and collaboration between the University of Maryland and the co-sponsoring institution.  These programs include partnerships with the Smithsonian Institution, the University of Maryland Baltimore, the Future of Information Alliance, the National Cancer Institute, Leidos, and the University of Maryland Institute for Bioscience and Biotechnology Research.  Seed grants encourage new teams of investigators to cross institutional and disciplinary boundaries, to enhance established collaborative teams to move to the next level in their research, to establish specific high impact research foci and/or generate preliminary data to support new areas of endeavor and to encourage research that leads to new funding opportunities.  Guidelines and forms for Seed Grant Programs can be found on VPR's website.",http://research.umd.edu/seed-grant-programs,,Learn more about research and innovation Seed Grant Programs,"seed grant,funding,grant,fund,university partnerships,smithsonian institution,UMB,Future of Information Alliance,National Cancer Institute Partnership,Institute for Bioscience and Biotechnology Research,Leidos",Fund your research,Find Funding Opportunities,Funding Opportunities,UMCP,Campuswide,2::Fund your research,201::Find Funding Opportunities
3,CompetitionSpace,"Browse and apply for open internal and external funding opportunities, including Limited Submissions, Seed Grant Programs, and Tier I and Tier II Faculty Incentive Programs.  These funding opportunities are open to UMD faculty and staff.",https://umd.infoready4.com/,,Find and apply for UMD funding opportunities,"Limited Submission,seed grant program,tier I faculty incentive program,tier II faculty incentive program,fund,grant,seed,tier,limited",Fund your research,Find Funding Opportunities,Funding Opportunities,UMCP,Campuswide,2::Fund your research,201::Find Funding Opportunities
4,Faculty Incentive Program,VPR supports research and scholarly activity of UMD faculty through use of the Designated Research Initiative Fund (DRIF).  Guidelines and forms for the Faculty Incentive Program can be found on VPR's website.,http://research.umd.edu/development/faculty-incentive,,Apply for internal support for your project through the VPR DRIF Investment Program,"Designated Research Initiative Fund,faculty incentive,division of research,funding opportunities,research funding,funding,grant,fund,tier,seed",Fund your research,Find Funding Opportunities,Funding Opportunities,UMCP,Campuswide,2::Fund your research,201::Find Funding Opportunities
7,Electronic Submission and Institutional Approval,"Proposals must be routed through Kuali Research in most instances when being submitted through an electronic system and when signature by an Authorized Institutional Official is required.  The PI should notify their Contract Administrator as soon as he or she is aware that the proposal is to be submitted.  Some electronic systems, such as NSF's FastLane or Research.gov and NIH's eRA Commons require the PI to create accounts before using the system. The completed proposal should be submitted to ORA during the proposal.",http://www.ora.umd.edu/resources/faculty-guide/preparing-proposal,,Get specifics on how to submit your proposal when it requires signature by an Authorized Institutional Official,"ORA Routing,Authorized Institutional Official,electronic submission,submitting a proposal,letter of intent,pre-proposal,FastLane,eRA Commons,Grants.gov",Fund your research,Submit your proposal,Proposal Writing,UMCP,Campuswide,2::Fund your research,208::Submit your proposal
92,Proposal Library,The proposal library maintained by the Division of Research contains successful proposals for a variety of sponsors.  UMD faculty and staff may request copies of these proposals to use in developing their proposals for sponsored research.,http://research.umd.edu/proposal-library,,Find examples of successful proposals or sections of proposals for a variety of sponsors,"proposal,example,fund,successful proposal,grant",Fund your research,Develop your proposal,Proposal Writing,UMCP,Campuswide,2::Fund your research,207::Develop your proposal
59,Proposal Writing Resources,Need help writing your grant proposal?  Templates and resources are provided for writing sections of your proposal.,http://research.umd.edu/proposalwritingresources,,Find resources for writing a successful grant proposal,"proposal,fund,grant writing,template,boilerplate",Fund your research,Develop your proposal,Proposal Writing,UMCP,Campuswide,2::Fund your research,207::Develop your proposal
